ist	ziel	art	fundort	welle	bemerkung
manuell	manual	json-wert	tour.json media[].placement; src/studio/editmodell.ts (Schreiber); src/studio/editor.ts (Vergleich, PLACEMENT_NAMEN)	1	§6.9
mittel	mid	json-wert	edits.json kamera[].preset; tour.json camera[].preset; PRESETS in src/tour.ts	1	§6.9; nicht medium: das ist die einzelne Aufnahme
musik	music	json-wert	edits.json audio[].typ; tour.json audio[].type	1	§6.9; sfx bleibt
nah	near	json-wert	edits.json kamera[].preset; tour.json camera[].preset; PRESETS in src/tour.ts	1	§6.9; PRESETS-Schlüssel und main.ts-Vergleich im selben Commit (Naht §3.3)
standard	default	json-wert	edits.json kamera[].preset; src/main.ts (kamFolger)	1	§6.9; standard steht NICHT in PRESETS, wird in main.ts abgefangen (Naht §3.3)
umkreisen	orbit	json-wert	edits.json momente[].art; tour.json moments[].kind	1	§6.9
unplatziert	unplaced	json-wert	tour.json media[].placement	1	§6.9; gps bleibt
weit	far	json-wert	edits.json kamera[].preset; tour.json camera[].preset; PRESETS in src/tour.ts	1	§6.9
zeit	time	json-wert	tour.json media[].placement; server/src/pipeline/placement.ts; src/studio/editmodell.ts	1	§6.9; Typ ist blankes string, Compiler sieht nichts
{{austragenLink}}	{{leaveLink}}	mail-platzhalter	server/src/mailvorlagen.ts; mailvorlagen-Zeilen	1	VORSCHLAG; passend zu /api/auth/waitlist/leave (§6.7)
{{austragenLink}}	{{leaveLink}}	mail-platzhalter	server/src/mailvorlagen.ts, server/src/maillayout.ts	1	aus Grundstock; Code UND gespeicherte Vorlagen-Zeilen im selben UPDATE (§4.2)
{{frist}}	{{deadline}}	mail-platzhalter	server/src/mailvorlagen.ts; mailvorlagen-Zeilen (gespeicherter Text)	1	VORSCHLAG; Code UND gespeicherte Vorlagen im selben UPDATE (§4.2)
{{frist}}	{{deadline}}	mail-platzhalter	server/src/mailvorlagen.ts	1	aus Grundstock; §4.2 ({{name}}, {{link}}, {{code}} bleiben)
{{groesse}}	{{size}}	mail-platzhalter	server/src/mailvorlagen.ts; mailvorlagen-Zeilen	1	VORSCHLAG; §4.2
{{groesse}}	{{size}}	mail-platzhalter	server/src/mailvorlagen.ts	1	aus Grundstock; §4.2
modiAutomatisch	travelModesAuto	manifest-schluessel	android/app/src/main/java/app/maptale/upload/Manifest.kt	1	Grundstock/§6.9; der einzige deutsche Manifest-Schlüssel (upload@2).
erledigt	done	objekt-schluessel	src/admin/adminmodell.ts	1	Statuswert-Spiegel §4.2
in_arbeit	in_progress	objekt-schluessel	src/admin/adminmodell.ts	1	Statuswert-Spiegel §4.2
manuell	manual	objekt-schluessel	src/studio/editor.ts	1	Grundstock: placement-Wert; Schreiber, Vergleich und Tabelle im selben Zug
mittel	mid	objekt-schluessel	src/tour.ts	1	Grundstock/§6.9; nicht medium, das ist die einzelne Aufnahme
nah	near	objekt-schluessel	src/tour.ts	1	Grundstock/§6.9: PRESETS-Schluessel ist Vertragswert, Welle 1
offen	open	objekt-schluessel	src/admin/adminmodell.ts	1	Statuswert-Spiegel (rueckmeldungen.status §4.2); Vertragswert, deshalb Welle 1
unplatziert	unplaced	objekt-schluessel	src/studio/editor.ts	1	Grundstock: placement-Wert; gps bleibt
weit	far	objekt-schluessel	src/tour.ts	1	Grundstock/§6.9
zeit	time	objekt-schluessel	src/studio/editor.ts	1	Grundstock: placement-Werte sind Vertragswerte und gehen in W1 (PLACEMENT_NAMEN-Schluessel)
typ	type	push-schluessel	server/src/push.ts; android MaptalePushDienst.kt	1	Naht §3.3; Leser liegen in Welle 2 und 7, deshalb Welle 1
typ	type	push-schluessel	server/src/push.ts, server/src/fcm.ts	1	"aus Grundstock; App liest data[""typ""] wörtlich — Naht §3.3, App-Release am selben Tag"
import-fertig	import-finished	push-wert	server/src/push.ts; android MaptalePushDienst.kt	1	VORSCHLAG; Naht §3.3, sonst kommt keine Import-fertig-Meldung mehr an
import-fertig	import-finished	push-wert	server/src/push.ts, server/src/fcm.ts	1	aus Grundstock (dort VORSCHLAG); wörtlicher Vergleich in der App — Naht §3.3
gesehen	seen	query-parameter	GET /api/tracker/imports/pending; android ApiClient.kt; server/src/routes/tracker.ts	1	§6.7; ?gesehen=1→?seen=1
gesehen	seen	query-parameter	GET /api/tracker/imports/pending; android ApiClient.kt	1	§6.7; ?gesehen=1→?seen=1, Wert 1 quittiert alles Offene; App und Server im selben Zug
seit	since	query-parameter	GET /api/admin/protokoll; src/admin/api.ts	1	VORSCHLAG: since; Zeitfilter des Protokolls
stufe	level	query-parameter	GET /api/admin/protokoll	1	VORSCHLAG: level; registriert, vom Web nie gesetzt; Werte fehler/warnung→error/warning (Log-Ebene, NICHT Status failed)
ankerLat	anchorLat	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	Anker→anchor (§6.1).
ankerLng	anchorLng	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	Anker→anchor (§6.1).
aufgenommenMs	takenAtMs	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	Zeitstempel …At plus Einheit (§6.0 Regel 1); Manifest-Schlüssel heißt schon takenAt.
beschreibung	description	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	§4.4.
datei	file	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	§4.4.
distanzM	distanceM	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	§4.4; Einheit bleibt im Namen (§6.0 Regel 1).
endeMs	endMs	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	§4.4; Room-Spalten bleiben camelCase wie der englische Bestand (tOffsetS, caption).
fehler	error	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	Feldname error, nicht failed (§6.1); letzter Fehlertext.
genauigkeitM	accuracyM	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	§4.4.
modus	travelMode	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	Spaltenname; der gespeicherte schluessel-String (walk/…) bleibt.
modusAutomatisch	travelModeAuto	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	VORSCHLAG: Bool je Tour; das Manifest-Feld travelModesAuto ist dagegen die Liste.
titel	title	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	§4.4.
typ	type	room-spalte	android/app/src/main/java/app/maptale/daten/Entities.kt	1	§4.4; Werte photo|video bleiben.
medien	media	room-tabelle	android/app/src/main/java/app/maptale/daten/Entities.kt	1	§6.1 medien→media; Verbund-Schlüssel (tourId, id) bleibt.
moduswechsel	travel_mode_changes	room-tabelle	android/app/src/main/java/app/maptale/daten/Entities.kt	1	VORSCHLAG: travelMode-Familie; snake_case, Plural.
touren	tours	room-tabelle	android/app/src/main/java/app/maptale/daten/Entities.kt	1	§4.4; destruktive Room-v4-Migration.
trackpunkte	track_points	room-tabelle	android/app/src/main/java/app/maptale/daten/Entities.kt	1	VORSCHLAG: snake_case nach §6.0 SQLite.
luhambo/edits@1	entfällt	schema-kennung	server/src/schema/edits.ts	1	Alt-Alias (§4.1)
luhambo/tour@1	entfällt	schema-kennung	src/remote.ts	1	Alt-Alias (§4.1)
luhambo/upload@1	entfällt	schema-kennung	server/src/schema/upload.ts	1	Alt-Alias; Start-Migration erkennt ihn, neuer Code nicht mehr (§4.1)
maptale/anreicherung@1	maptale/enrichment@2	schema-kennung	anreicherung.json; server/src/pipeline/anreicherung.ts	1	Datei wird zugleich zu enrichment.json (§4.3)
maptale/edits@1	maptale/edits@2	schema-kennung	edits.json; server/src/schema/edits.ts	1	§4.1
maptale/tour@1	maptale/tour@2	schema-kennung	tour.json; src/remote.ts	1	nicht migriert sondern neu gerendert (§4.3)
maptale/upload@1	maptale/upload@2	schema-kennung	original/manifest.json; server/src/schema/upload.ts	1	kein Leser für @1; alte App bekommt 400 mit Klartext (§4.1)
aufstieg	ascend	union-wert	server/src/schema/edits.ts	1	§6.9
benutzer	user	union-wert	server/src/schema/edits.ts	1	§6.9; eigener Upload
bibliothek	library	union-wert	server/src/schema/edits.ts	1	§6.9; kuratierter Effekt
innehalten	linger	union-wert	server/src/schema/edits.ts	1	§6.9
manuell	manual	union-wert	server/src/pipeline/placement.ts	1	§6.9; Schreiber editmodell.ts und Vergleich editor.ts (PLACEMENT_NAMEN) im selben Zug
mittel	mid	union-wert	server/src/schema/edits.ts	1	§6.9; nicht medium (das ist die einzelne Aufnahme)
musik	music	union-wert	server/src/schema/edits.ts	1	§6.9; sfx bleibt; steuert auch den Loop-Default
nah	near	union-wert	server/src/schema/edits.ts	1	§6.9 (Grundstock); PRESETS-Schlüssel und main.ts im selben Commit (Naht §3.3)
umkreisen	orbit	union-wert	server/src/schema/edits.ts	1	§6.9
unplatziert	unplaced	union-wert	server/src/pipeline/placement.ts	1	§6.9; gps bleibt
weit	far	union-wert	server/src/schema/edits.ts	1	§6.9 (standard→default daneben, Grundstock)
zeit	time	union-wert	server/src/pipeline/placement.ts	1	§6.9; landet als placement im Tour-JSON; Typ ist blankes string, Compiler sieht nichts
darfSehen	canView	bezeichner	server/src/	2	§6.4
kollabierePausen	collapsePauses	bezeichner	server/src/pipeline/	2	§6.4
nurOwner	requireOwner	bezeichner	server/src/	2	§6.4
raffePausen	compressPauses	bezeichner	server/src/pipeline/	2	§6.4
server/src/auth/einladungen.ts	server/src/auth/invitations.ts	datei	server/src/auth/einladungen.ts	2	§6.6
server/src/auth/passwort.ts	server/src/auth/password.ts	datei	server/src/auth/passwort.ts	2	§6.6
server/src/auth/warteliste.ts	server/src/auth/waitlist.ts	datei	server/src/auth/warteliste.ts	2	§6.6
server/src/bremse.ts	server/src/rate-limit.ts	datei	server/src/bremse.ts	2	§6.6
server/src/export.ts	server/src/data-export.ts	datei	server/src/export.ts	2	§6.6
server/src/exportinhalt.ts	server/src/data-export-content.ts	datei	server/src/exportinhalt.ts	2	§6.6
server/src/exportlauf.ts	server/src/data-export-run.ts	datei	server/src/exportlauf.ts	2	§6.6
server/src/maillayout.ts	server/src/mail-layout.ts	datei	server/src/maillayout.ts	2	§6.6
server/src/mailvorlagen.ts	server/src/mail-templates.ts	datei	server/src/mailvorlagen.ts	2	§6.6
server/src/manifestsperre.ts	server/src/manifest-lock.ts	datei	server/src/manifestsperre.ts	2	§6.6
server/src/pipeline/anreicherung.ts	server/src/pipeline/enrichment.ts	datei	server/src/pipeline/anreicherung.ts	2	§6.6
server/src/pipeline/bild.ts	server/src/pipeline/image.ts	datei	server/src/pipeline/bild.ts	2	§6.6
server/src/pipeline/bildnachtrag.ts	server/src/pipeline/image-addendum.ts	datei	server/src/pipeline/bildnachtrag.ts	2	§6.6
server/src/pipeline/filmachse.ts	server/src/pipeline/film-axis.ts	datei	server/src/pipeline/filmachse.ts	2	§6.6
server/src/pipeline/filmtempo.ts	server/src/pipeline/film-tempo.ts	datei	server/src/pipeline/filmtempo.ts	2	§6.6
server/src/pipeline/musikwahl.ts	server/src/pipeline/music-choice.ts	datei	server/src/pipeline/musikwahl.ts	2	§6.6
server/src/pipeline/schienen.ts	server/src/pipeline/rails.ts	datei	server/src/pipeline/schienen.ts	2	§6.6
server/src/pipeline/signatur.ts	server/src/pipeline/signature.ts	datei	server/src/pipeline/signatur.ts	2	§6.6
server/src/pipeline/zeit.ts	server/src/pipeline/time.ts	datei	server/src/pipeline/zeit.ts	2	§6.6
server/src/profilfelder.ts	server/src/profile-fields.ts	datei	server/src/profilfelder.ts	2	§6.6
server/src/protokoll.ts	server/src/audit-log.ts	datei	server/src/protokoll.ts	2	§6.6
server/src/routes/bibliothek.ts	server/src/routes/audio-library.ts	datei	server/src/routes/bibliothek.ts	2	§6.6
server/src/routes/galerie.ts	server/src/routes/gallery.ts	datei	server/src/routes/galerie.ts	2	§6.6
server/src/routes/rueckmeldungen.ts	server/src/routes/feedback.ts	datei	server/src/routes/rueckmeldungen.ts	2	§6.6
server/src/routes/seiten.ts	server/src/routes/pages.ts	datei	server/src/routes/seiten.ts	2	§6.6
server/src/routes/warteliste.ts	server/src/routes/waitlist.ts	datei	server/src/routes/warteliste.ts	2	§6.6
server/src/rueckmeldungen.ts	server/src/feedback.ts	datei	server/src/rueckmeldungen.ts	2	§6.6
server/src/seiten.ts	server/src/page-meta.ts	datei	server/src/seiten.ts	2	§6.6; bewusst anders als routes/pages.ts
server/src/titelbilder.ts	server/src/profile-banners.ts	datei	server/src/titelbilder.ts	2	§6.6
server/src/tracker/importlauf.ts	server/src/tracker/import-run.ts	datei	server/src/tracker/importlauf.ts	2	§6.6
server/src/tracker/krypto.ts	server/src/tracker/crypto.ts	datei	server/src/tracker/krypto.ts	2	§6.6
server/src/tracker/normalisierer.ts	server/src/tracker/normalizer.ts	datei	server/src/tracker/normalisierer.ts	2	§6.6
server/src/tracker/testprovider.ts	server/src/tracker/test-provider.ts	datei	server/src/tracker/testprovider.ts	2	§6.6
server/src/tracker/touranleger.ts	server/src/tracker/tour-creator.ts	datei	server/src/tracker/touranleger.ts	2	§6.6
server/src/tracker/vertrag.ts	server/src/tracker/contract.ts	datei	server/src/tracker/vertrag.ts	2	§6.6
server/src/webpfade.ts	server/src/web-paths.ts	datei	server/src/webpfade.ts	2	§6.6; Drift-Wächter test/routen.test.ts liest den Namen
abmeldeToken	unsubscribeToken	export-funktion	server/src/newsletter.ts	2	abmelden→unsubscribe (§6.7); signiert, ohne Frist
abmeldeUrl	unsubscribeUrl	export-funktion	server/src/newsletter.ts	2	Abmeldelink für die Seite
alsAttribut	escapeAttribute	export-funktion	server/src/seiten.ts	2	VORSCHLAG: verb-first nach Wirkung (HTML-Attribut-Escaping)
alsBeschreibung	buildDescription	export-funktion	server/src/seiten.ts	2	VORSCHLAG: verb-first; kürzt Rohtext zur Meta-Beschreibung
alsGroesse	formatSize	export-funktion	server/src/routes/export.ts	2	VORSCHLAG: verb-first nach Wirkung; menschenlesbar für die Export-Mail
anteilZurUhrzeit	clockTimeAtFraction	export-funktion	server/src/pipeline/zeit.ts	2	VORSCHLAG: Ergebnis-zuerst-Muster (wie distanceAtFilmTime); Uhrzeit→clockTime
anzeigeDateiname	displayFilename	export-funktion	server/src/pipeline/bild.ts	2	mN.w1920.jpg
artDerDatei	fileType	export-funktion	server/src/quota.ts	2	VORSCHLAG: §6.0 Regel 8 type vor kind (keine Kollision); Zuordnung nach Endung
aufnahmeHaltS	mediumHoldS	export-funktion	server/src/pipeline/filmtempo.ts	2	Aufnahme (einzelnes Foto/Video)→medium (§6.1); holdS Glossar-Kopf
baueAchsenHalte	buildAxisStops	export-funktion	server/src/pipeline/filmachse.ts	2	Halte aus platzierten Medien
baueApp	buildApp	export-funktion	server/src/app.ts	2	baue→build (§6.3)
baueArchiv	buildArchive	export-funktion	server/src/export.ts	2	baut den ZIP-Stream
baueBenennung	buildNaming	export-funktion	server/src/pipeline/naming.ts	2	Titel und Stationen aus den Ortsnamen
baueBremse	buildRateLimit	export-funktion	server/src/bremse.ts	2	Bremse→rateLimit (§6.4); baue→build
baueFilmAchse	buildFilmAxis	export-funktion	server/src/pipeline/filmachse.ts	2	baut die Achse aus Segmenten und Halten
baueMeta	buildMeta	export-funktion	server/src/seiten.ts	2	og:, twitter:, robots
baueMomentHalte	buildMomentStops	export-funktion	server/src/pipeline/filmachse.ts	2	Halte der Kamera-Momente
baueSegmentAusGpx	buildSegmentFromGpx	export-funktion	server/src/pipeline/gpx.ts	2	Upload-Segment aus GPX-Punkten
baueSignatur	buildSignature	export-funktion	server/src/pipeline/signatur.ts	2	verdichtet Wegpunkte zur Signatur
baueUndLege	buildAndStore	export-funktion	server/src/exportlauf.ts	2	VORSCHLAG: ablegen→store; führt den Export-Lauf aus
baueZeitreihe	buildTimeSeries	export-funktion	server/src/pipeline/zeit.ts	2	aus den Segmenten
beispielRohTrack	exampleRawTrack	export-funktion	server/src/tracker/testprovider.ts	2	Fixture-Track für Tests
beispielWerte	exampleValues	export-funktion	server/src/mailvorlagen.ts	2	Beispielbelegung für Vorschau und Testmail
benenneTour	nameTour	export-funktion	server/src/pipeline/naming.ts	2	kompletter Benennungslauf
benutzteBytes	usedBytes	export-funktion	server/src/quota.ts	2	Summe je Konto
berechneRohAnreicherung	computeRawEnrichment	export-funktion	server/src/pipeline/anreicherung.ts	2	berechne→compute (einheitlich); roh→raw
berechneStats	computeStats	export-funktion	server/src/pipeline/geo.ts	2	berechne→compute; km und Höhenmeter
berechneWetter	computeWeather	export-funktion	server/src/pipeline/weather.ts	2	berechne→compute; Auto-Wetter-Timeline
bereiteFotosAuf	preparePhotos	export-funktion	server/src/pipeline/bild.ts	2	VORSCHLAG: aufbereiten→prepare (processTour ist verarbeiten, §6.4)
bereiteVideosAuf	prepareVideos	export-funktion	server/src/pipeline/video.ts	2	VORSCHLAG: prepare wie preparePhotos; transkodiert/remuxt, erzeugt Poster
bestimmeCover	chooseCover	export-funktion	server/src/pipeline/enrich.ts	2	VORSCHLAG: bestimme/wähle→choose (ein Verb je Bedeutung)
bildBefundZuWetter	imageFindingToWeather	export-funktion	server/src/pipeline/vision.ts	2	Befund→Wettermodus und Stärke
brauchtTranskodierung	needsTranscoding	export-funktion	server/src/pipeline/video.ts	2	Boolean-Regel; web-untauglich kodiert
darfSehen	canView	export-funktion	server/src/routes/tours.ts	2	§6.4
dauerZuSekunden	durationToSeconds	export-funktion	server/src/tracker/provider/polar.ts	2	ISO-8601-Dauer
destilliereTimeline	distillTimeline	export-funktion	server/src/pipeline/zeit.ts	2	verdichtet zur Tour-JSON-timeline
distanzM	distanceM	export-funktion	server/src/pipeline/geo.ts	2	Haversine
ebenenAusAdresse	levelsFromAddress	export-funktion	server/src/pipeline/naming.ts	2	Adress-Ebenen→levels; Dachzeilen-Vorschläge
einKlickUrl	oneClickUrl	export-funktion	server/src/newsletter.ts	2	wie /api/newsletter/one-click (§6.7); RFC 8058
entschluessele	decrypt	export-funktion	server/src/tracker/krypto.ts	2	Gegenstück
erfordereAdmin	requireAdmin	export-funktion	server/src/app.ts	2	Guard 403; dito
erfordereBenutzer	requireUser	export-funktion	server/src/app.ts	2	Guard 401; require-Muster aus nurOwner→requireOwner (§6.4)
filmBeiZeit	filmTimeAtRecordingTime	export-funktion	server/src/pipeline/filmachse.ts	2	ENTSCHIEDEN 2026-08-20 (Abnahme): Muster distanceAtFilmTime (§6.3a); Aufnahmezeit→recordingTime (§6.1)
filmsekunden	filmSeconds	export-funktion	server/src/pipeline/filmtempo.ts	2	Filmsekunden für n Meter
finalisiereTour	finalizeTour	export-funktion	server/src/routes/tours.ts	2	Route /finalize heißt schon so
findePausen	findPauses	export-funktion	server/src/pipeline/zeit.ts	2	Pausen in der Zeitreihe
findePlatzhalter	findPlaceholders	export-funktion	server/src/maillayout.ts	2	findet alle {{...}}-Platzhalter
freierHandle	findFreeHandle	export-funktion	server/src/handle.ts	2	VORSCHLAG: verb-first (§6.0); findet unbelegten Handle mit Suffix
fuehreImportAus	runImport	export-funktion	server/src/tracker/importlauf.ts	2	Lauf/ausführen→run (import-run.ts); Download, Pipeline, Push
fuehreImporteAus	runImports	export-funktion	server/src/tracker/importlauf.ts	2	Stapel-Lauf mit Cursor
geocodiereEndpunkte	geocodeEndpoints	export-funktion	server/src/pipeline/naming.ts	2	Reverse-Geocoding
glaette	smooth	export-funktion	server/src/pipeline/geo.ts	2	gleitender Mittelwert
glaetteSamples	smoothSamples	export-funktion	server/src/pipeline/weather.ts	2	glättet die Wetter-Samples
gleichSicher	timingSafeEquals	export-funktion	server/src/tracker/krypto.ts	2	VORSCHLAG: Node-Begriff timingSafeEqual
handleAusEmail	handleFromEmail	export-funktion	server/src/handle.ts	2	aus→from
hashePasswort	hashPassword	export-funktion	server/src/auth/passwort.ts	2	passwort→password (§6.6)
hatFaststart	hasFaststart	export-funktion	server/src/pipeline/video.ts	2	moov-Atom vorn
hebeSchienenAbschnitte	promoteRailSegments	export-funktion	server/src/pipeline/schienen.ts	2	VORSCHLAG: heben auf tram→promote
ipPraefix	ipPrefix	export-funktion	server/src/auth/auth.ts	2	wie ip_prefix (§6.8); Datenschutz-Zusage unverändert
istAbgemeldet	isUnregistered	export-funktion	server/src/fcm.ts	2	nach FCM-Antwort UNREGISTERED; Boolean-Regel
istAudioDatei	isAudioFile	export-funktion	server/src/schema/edits.ts	2	prüft gegen das Pattern
istAufzeichnung	isRecording	export-funktion	server/src/pipeline/tempo.ts	2	recording (§6.1/§6.5); dichte Zeitreihe
istGepackt	isCompressed	export-funktion	server/src/exportinhalt.ts	2	Boolean-Regel; entscheidet STORE statt Deflate
istKachelbild	isTiledImage	export-funktion	server/src/pipeline/bild.ts	2	gekacheltes HEIC→tiled; NICHT thumbnail und nicht tile (§6.3a)
istTitelbildVorschlag	isBannerSuggestion	export-funktion	server/src/profilfelder.ts	2	VORSCHLAG: Vorschlag→suggestion; Profil-Titelbild→banner (§6.1); die vier mitgelieferten
istVorlagenSchluessel	isTemplateKey	export-funktion	server/src/mailvorlagen.ts	2	Type-Guard
klemmeSchnitt	clampCut	export-funktion	server/src/pipeline/video.ts	2	klemmt auf Materiallänge
kollabierePausen	collapsePauses	export-funktion	server/src/pipeline/zeit.ts	2	§6.4; GPS-Drift auf den Schwerpunkt
konfigAusEnv	configFromEnv	export-funktion	server/src/config.ts	2	aus→from
ladeTour	loadTour	export-funktion	server/src/routes/tours.ts	2	load (§6.4)
legeTourAn	createTour	export-funktion	server/src/routes/tours.ts	2	anlegen→create (wie created/tour-creator); geteilt mit Tracker-Anleger
legeTourAusTrackAn	createTourFromTrack	export-funktion	server/src/tracker/touranleger.ts	2	geteilter Pfad mit dem Upload
leseDienstkonto	parseServiceAccount	export-funktion	server/src/fcm.ts	2	VORSCHLAG: Wirkung ist Parsen (verb-first §6.0); Dienstkonto→serviceAccount (FCM-Begriff)
liesExifBlock	readExifBlock	export-funktion	server/src/pipeline/bild.ts	2	read für Byte-Ebene; load bleibt DB/Datei
liesmich	buildReadme	export-funktion	server/src/exportinhalt.ts	2	VORSCHLAG: verb-first; die erzeugte LIESMICH.txt ist Produkttext und bleibt deutsch (§3.4)
liesOrientierung	readOrientation	export-funktion	server/src/pipeline/bild.ts	2	EXIF-Drehung
loopAktiv	loopEnabled	export-funktion	server/src/schema/edits.ts	2	ENTSCHIEDEN 2026-08-20 (Abnahme): enabled (Schalter, §6.7); Default Musik ja
mapZuRecord	mapToRecord	export-funktion	server/src/pipeline/anreicherung.ts	2	fürs JSON-Serialisieren
mediumDateiKandidaten	mediumFileCandidates	export-funktion	server/src/routes/tours.ts	2	Original und Fassungen
mediumDateiname	mediumFilename	export-funktion	server/src/schema/upload.ts	2	kanonischer Original-Dateiname
mediumVorhanden	mediumExists	export-funktion	server/src/routes/tours.ts	2	Boolean-Regel
meterFuerFilmsekunden	metersForFilmSeconds	export-funktion	server/src/pipeline/filmtempo.ts	2	amerikanisch meters (§6.0)
mitExif	withExif	export-funktion	server/src/pipeline/bild.ts	2	mit→with
mitManifestSperre	withManifestLock	export-funktion	server/src/manifestsperre.ts	2	manifestLock (§6.4); mit→with; Mutex je Tour
modusAusSportart	travelModeFromSport	export-funktion	server/src/tracker/touranleger.ts	2	VORSCHLAG: Sportart→sport (Anbieter-Begriff sport type)
modusAusTempo	travelModeFromSpeed	export-funktion	server/src/pipeline/gpx.ts	2	VORSCHLAG: Tempo ist hier reales Durchschnittstempo→speed, nicht Film-tempo
momentHaltS	momentHoldS	export-funktion	server/src/pipeline/filmtempo.ts	2	Standzeit eines Kamera-Moments
mussWebKonvertiert	needsWebConversion	export-funktion	server/src/pipeline/video.ts	2	muss→needs (Boolean-Regel)
nacktesInstagram	normalizeInstagram	export-funktion	server/src/profilfelder.ts	2	VORSCHLAG: dito
nacktesWeb	normalizeWebsite	export-funktion	server/src/profilfelder.ts	2	VORSCHLAG: verb-first nach Wirkung statt wörtlich bareWeb
nameAusEmail	nameFromEmail	export-funktion	server/src/auth/auth.ts	2	aus→from (wie session-from-token)
nassAnteil	wetFraction	export-funktion	server/src/pipeline/musikwahl.ts	2	Anteil→fraction; Regen/Schnee-Anteil der Wetter-Timeline
neueExportId	newDataExportId	export-funktion	server/src/ids.ts	2	VORSCHLAG: Data eingefügt (dataExport §6.1, Tabelle data_exports)
neueMediumId	newMediumId	export-funktion	server/src/ids.ts	2	Medium bleibt Singular (§6.1 medium)
neuerEinladungsCode	newInvitationCode	export-funktion	server/src/ids.ts	2	invitation §6.2
neueSessionId	newSessionId	export-funktion	server/src/ids.ts	2	Sitzungs-ID s_…
neuesTokenSecret	newTokenSecret	export-funktion	server/src/ids.ts	2	Präfix lhb_ ist Datenbestand, bleibt
neueTourId	newTourId	export-funktion	server/src/ids.ts	2	Präfix t_ bleibt (§3.4)
neueUserId	newUserId	export-funktion	server/src/ids.ts	2	Benutzer-ID u_…
newsletterKopfzeilen	newsletterHeaders	export-funktion	server/src/newsletter.ts	2	List-Unsubscribe-Kopfzeilen
oeffneDb	openDb	export-funktion	server/src/db.ts	2	öffnen→open; fährt die Migrationsleiter hoch
ohneOrientierung	withoutOrientation	export-funktion	server/src/pipeline/bild.ts	2	ohne→without; setzt Drehung auf 1
platziereMedien	placeMedia	export-funktion	server/src/pipeline/placement.ts	2	GPS, Zeit oder Hand
positionZurZeit	positionAtTime	export-funktion	server/src/pipeline/zeit.ts	2	VORSCHLAG: liefert Streckenanteil f zum Zeitstempel (Ergebnis zuerst)
posterDateiname	posterFilename	export-funktion	server/src/pipeline/video.ts	2	Dateiname des Video-Posters
posterZeitpunkt	posterTime	export-funktion	server/src/pipeline/video.ts	2	Zeitpunkt des Poster-Frames
projiziereAufReihe	projectOntoTimeSeries	export-funktion	server/src/pipeline/filmachse.ts	2	Reihe = Zeitreihe→TimeSeries; Muster projectOntoTrack (Grundstock)
protokollZiel	auditLogTarget	export-funktion	server/src/protokoll.ts	2	Pino-Transportziel
pruefeAbmeldeToken	checkUnsubscribeToken	export-funktion	server/src/newsletter.ts	2	prüfe→check; gibt Benutzer-ID zurück
pruefeBausteine	validateParts	export-funktion	server/src/mailvorlagen.ts	2	VORSCHLAG: parts wie MailParts; prüfe→validate (Pflicht-Platzhalter)
pruefeEditsSemantik	validateEditsSemantics	export-funktion	server/src/schema/edits.ts	2	prüfe→validate; über das JSON-Schema hinaus
pruefeHandleForm	validateHandleForm	export-funktion	server/src/handle.ts	2	ENTSCHIEDEN 2026-08-20 (Abnahme): prüfe→validate (§6.3); Formprüfung
pruefePasswort	checkPassword	export-funktion	server/src/auth/passwort.ts	2	prüfe→check (§6.3); Prüfung gegen den Hash
pruefeQuota	checkQuota	export-funktion	server/src/quota.ts	2	prüfe→check; wirft/meldet am Limit
pseudoZeiten	pseudoTimes	export-funktion	server/src/pipeline/zeit.ts	2	Basis der timeline
punkteZuGpx	pointsToGpx	export-funktion	server/src/tracker/normalisierer.ts	2	Rohpunkte→GPX-Text
quotaStand	quotaStatus	export-funktion	server/src/quota.ts	2	VORSCHLAG: wie QuotaStatus
raffePausen	compressPauses	export-funktion	server/src/pipeline/zeit.ts	2	§6.4; Pseudo-Zeiten mit Zeitraffer
recordZuMap	recordToMap	export-funktion	server/src/pipeline/anreicherung.ts	2	beim Laden des Caches
registriereAdminRouten	registerAdminRoutes	export-funktion	server/src/routes/admin.ts	2	§6.4
registriereAuthRouten	registerAuthRoutes	export-funktion	server/src/routes/auth.ts	2	§6.4
registriereBibliotheksRouten	registerAudioLibraryRoutes	export-funktion	server/src/routes/bibliothek.ts	2	audioLibrary (§6.3; Datei routes/audio-library.ts)
registriereExportRouten	registerDataExportRoutes	export-funktion	server/src/routes/export.ts	2	dataExport (§6.1)
registriereGalerieRouten	registerGalleryRoutes	export-funktion	server/src/routes/galerie.ts	2	§6.4; gallery (§6.7)
